event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
1,-40.3,-75.57,15.0,29.03218344252825,27.775005728078465,29.01695106610926,28.493258634076046,29.184487860798594,28.42065369141924,23.0,23.30102999566398,23.0,27.301138555715017,27.47720810493131,23.0,2.2,24.984437294796077,5.92,24,1976,2,28,5,1,0,16,27,13
2,-42.06,-75.94,15.0,29.032148759527814,27.775231685855374,29.01697445499745,28.493229341361584,29.184486724854363,28.420686663331043,23.30102999566398,23.30102999566398,23.30102999566398,27.30122538422171,27.47726599542485,23.30102999566398,2.7,25.230448921378272,6.09,25,1976,5,30,6,1,0,3,8,55
3,-20.54,-68.51,133.7,29.024936968037444,27.748885440009516,29.025756314534416,28.50086741787214,29.180436138570197,28.413299764081252,25.778151250383644,25.69897000433602,25.69897000433602,27.307496037913214,27.484299839346786,25.602059991327963,15.1,27.40534636017571,7.54,27,1976,11,30,1,0,1,0,40,13
4,-31.92,-72.1,42.2,29.032218572777392,27.77518099407502,29.01690463543415,28.493265855124044,29.184486610975792,28.42061809048417,22.96473092105363,23.061829307294698,23.2027606873932,27.301060047802338,27.4771464575448,23.037027879755776,1.6,23.94448267215017,5.23,23,1977,1,11,1,0,1,7,2,43
5,-24.89,-68.61,134.4,29.033012589654174,27.778390046685725,29.015895166886278,28.493718688879333,29.184525345291437,28.41925999003675,24.556302500767288,24.49136169383427,24.518513939877888,27.3014857656326,27.477613176429475,24.612783856719737,10.2,26.38111508070985,6.85,26,1977,1,17,0,0,1,21,27,36
6,-45.97,-76.35,10.0,29.032215408929293,27.775221556717323,29.01690558782244,28.493267030956495,29.184489093294722,28.420588696450846,22.886490725172482,22.991226075692495,22.954242509439325,27.30109860877183,27.47715787867668,22.991226075692495,2.0,24.269979676645324,5.45,24,1977,2,22,1,0,1,14,10,12
7,-23.01,-69.27,129.7,29.03221314671941,27.77512528167708,29.0169134491232,28.493258996735367,29.184485608786265,28.420603602295554,23.045322978786658,23.235528446907548,23.235528446907548,27.30105062416195,27.477136744279957,23.24551266781415,2.0,24.186108379813206,5.39,24,1977,4,15,4,0,1,23,35,40
8,-23.51,-69.71,32.0,29.032211449046148,27.77517156341022,29.016912555231134,28.493293447989966,29.18446737358798,28.42056115886559,23.51321760006794,23.612783856719737,23.76715586608218,27.301150712751053,27.47720405230776,23.545307116465825,3.1,24.914766136925852,5.88,24,1977,6,5,6,1,0,2,46,13
9,-22.21,-67.12,185.5,29.03221727998168,27.775171709171662,29.016906510968745,28.49324913508368,29.184477640033485,28.42061789757531,23.22271647114758,23.42160392686983,23.37657695705651,27.301067777640416,27.47714325841599,23.444044795918078,2.6,24.563006187061795,5.64,24,1977,6,8,2,0,1,13,25,24
10,-20.95,-68.48,135.9,29.03219632292796,27.77549539751595,29.01690965633486,28.49328636269201,29.184480275474677,28.420560878533887,23.369215857410143,23.539076098792776,23.531478917042254,27.30107667981156,27.477152812305437,23.558708570533167,3.1,24.811306840081336,5.81,24,1977,6,18,5,1,0,16,49,45
11,-19.64,-69.56,122.2,29.032206255173193,27.77512615633823,29.016920537538596,28.493271759360912,29.18447868228423,28.420592769226907,23.374748346010104,23.614897216033135,23.612783856719737,27.301078633922263,27.47715252279672,23.488550716500445,2.5,24.646109521978847,5.7,24,1977,6,30,3,0,1,2,46,7
12,-25.87,-70.79,15.0,29.032220723664786,27.77517200069441,29.01690292280083,28.493267435453284,29.184478747602313,28.420620189393002,23.257678574869185,23.155336037465062,23.113943352306837,27.301089055697528,27.477157444418605,23.31597034545692,2.2,24.5280163411892,5.62,24,1977,7,2,5,1,0,5,9,11
13,-21.32,-68.23,136.0,29.03221035624108,27.775238754250612,29.016909835950035,28.493267226230856,29.184486730534093,28.42060139283317,23.225309281725863,23.434568904034197,23.489958479424836,27.301066691997303,27.477146587825565,23.503790683057183,1.8,24.18298496700358,5.39,24,1977,8,23,1,0,1,3,13,0
14,-23.57,-68.51,123.8,29.032206339856405,27.775254930969666,29.016913069010442,28.493283740544562,29.1844891387323,28.420580501316053,23.071882007306126,23.30102999566398,23.22271647114758,27.301051492708787,27.47713428335869,23.230448921378272,2.4,24.52413637659257,5.62,24,1977,9,20,1,0,1,16,23,22
15,-28.34,-71.43,52.7,29.03222257049998,27.77519371858874,29.01689976485437,28.49326835603077,29.184485472472407,28.42061484729559,22.88081359228079,23.170261715394957,23.146128035678238,27.301046281401696,27.47713486240024,22.94448267215017,2.0,24.309630167425897,5.47,24,1977,10,5,2,0,1,4,34,18
